student_id,name,branch,admission_year,contact,semester,sgpa,cgpa,backlogs,total_classes,attended_classes,attendance_pct,is_registered,offers_count,package_lpa,status,academic_standing,is_placement_eligible
STU1001,Aarav Sharma,CSE,2023,9876543210,2,5.92,6.28,0,90,86,95.56,False,0,0.0,NOT ELIGIBLE,GOOD_STANDING,False
STU1002,Priya Reddy,CSE,2023,9876543211,3,8.91,8.63,2,70,70,100.0,True,1,3.5,PLACED,ACADEMIC_DEFICIT,False
STU1003,Rahul Verma,CSE,2022,9876543212,2,10.0,8.15,0,100,72,72.0,True,1,6.86,PLACED,ATTENDANCE_SHORTAGE,False
STU1004,Ananya Rao,CSE,2024,9876543213,3,7.13,6.97,2,75,50,66.67,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1005,Vikram Singh,ECE,2023,9876543214,3,8.88,8.56,1,100,92,92.0,False,0,0.0,NOT ELIGIBLE,ACADEMIC_DEFICIT,False
STU1006,Sneha Patel,ECE,2022,9876543215,3,7.33,7.68,0,90,59,65.56,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1007,Karthik Kumar,ECE,2024,9876543216,3,8.24,8.5,0,85,74,87.06,True,0,0.0,NOT PLACED,GOOD_STANDING,True
STU1008,Meera Nair,EEE,2023,9876543217,3,9.1,0.0,0,90,84,93.33,False,0,0.0,NOT ELIGIBLE,ACADEMIC_DEFICIT,False
STU1009,Rohan Das,EEE,2022,9876543218,5,7.08,6.52,2,0,0,0.0,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1010,Ishita Gupta,IT,2024,9876543219,4,9.23,8.86,2,90,55,61.11,True,2,0.0,PLACED,ATTENDANCE_SHORTAGE,False
STU1011,Arjun Reddy,IT,2023,9876543220,2,9.22,9.41,0,95,67,70.53,True,0,0.0,NOT PLACED,ATTENDANCE_SHORTAGE,False
STU1012,Nikhil Jain,MECH,2022,9876543221,4,9.13,8.94,0,95,94,98.95,False,0,0.0,PLACED,GOOD_STANDING,False
STU1013,Pooja Shah,MECH,2024,9876543222,6,6.14,6.83,3,100,0,0.0,True,1,18.43,PLACED,ATTENDANCE_SHORTAGE,False
STU1014,Aditya Rao,CIVIL,2023,9876543223,3,9.53,8.75,0,100,86,86.0,True,1,16.96,PLACED,GOOD_STANDING,True
STU1015,Divya Menon,CIVIL,2022,9876543224,0,7.38,7.45,0,70,53,75.71,True,0,0.0,REGISTERED,GOOD_STANDING,True
STU1016,Sanjay Kumar,CSE,2024,9876543225,3,6.96,7.42,0,85,60,70.59,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1017,Lakshmi Devi,CSE,2023,9876543226,2,7.68,8.21,3,85,50,58.82,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1018,Harshith R,CSE,2022,9876543227,3,6.55,6.74,3,95,76,80.0,True,0,0.0,NOT PLACED,ACADEMIC_DEFICIT,False
STU1019,Nandini Bose,ECE,2024,9876543228,6,6.64,6.92,0,90,66,73.33,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1020,Vishal Yadav,IT,2023,9876543229,3,9.4,8.91,1,90,61,67.78,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1021,Keerthi S,CSE,2024,9876543230,4,7.08,6.42,2,100,84,84.0,False,0,0.0,NOT ELIGIBLE,ACADEMIC_DEFICIT,False
STU1022,Manoj Kumar,EEE,2022,9876543231,4,6.9,6.9,3,100,97,97.0,False,0,0.0,NOT ELIGIBLE,ACADEMIC_DEFICIT,False
STU1023,Aisha Khan,ECE,2023,9876543232,5,6.09,6.67,3,90,67,74.44,False,0,0.0,NOT ELIGIBLE,ATTENDANCE_SHORTAGE,False
STU1024,Tarun R,MECH,2024,9876543233,6,8.38,7.98,1,75,63,84.0,False,0,0.0,NOT ELIGIBLE,ACADEMIC_DEFICIT,False
STU1025,Sravani P,CSE,2023,9876543234,6,7.07,7.52,0,100,75,75.0,False,0,0.0,NOT ELIGIBLE,GOOD_STANDING,False
